dong,sigungu_name,latitude,longitude,school_count,subway_count,avg_price,school_score,subway_score,price_score
청운효자동,종로구,37.58465806,126.9704175,7,0,0,31.82,0.0,0.0
사직동,종로구,37.57410805,126.9701437,12,3,0,54.55,25.0,0.0
삼청동,종로구,37.58801344,126.9811137,7,0,0,31.82,0.0,0.0
부암동,종로구,37.59669866,126.9625567,2,0,0,9.09,0.0,0.0
평창동,종로구,37.61396501,126.969274,1,0,0,4.55,0.0,0.0
무악동,종로구,37.57774075,126.9589891,8,2,115250,36.36,16.67,50.32
교남동,종로구,37.57105298,126.964161,16,3,0,72.73,25.0,0.0
가회동,종로구,37.58267644,126.9866182,8,1,0,36.36,8.33,0.0
종로1.2.3.4가동,종로구,37.57507655,126.9897333,8,6,0,36.36,50.0,0.0
종로5.6가동,종로구,37.573016,127.004241,4,8,0,18.18,66.67,0.0
이화동,종로구,37.57969001,127.0030693,8,2,0,36.36,16.67,0.0
혜화동,종로구,37.58747148,126.9976891,12,2,0,54.55,16.67,0.0
창신제1동,종로구,37.57226265,127.0140191,8,9,0,36.36,75.0,0.0
창신제2동,종로구,37.57575481,127.0102517,9,6,0,40.91,50.0,0.0
창신제3동,종로구,37.57881917,127.0132088,11,6,0,50.0,50.0,0.0
숭인제1동,종로구,37.57722518,127.0168612,10,8,0,45.45,66.67,0.0
숭인제2동,종로구,37.57430675,127.0206376,10,8,0,45.45,66.67,0.0
소공동,중구,37.56429679,126.9743586,7,7,0,31.82,58.33,0.0
회현동,중구,37.55696816,126.9767086,5,5,0,22.73,41.67,0.0
명동,중구,37.56372809,126.9843554,4,9,0,18.18,75.0,0.0
필동,중구,37.55680279,126.9938483,5,3,0,22.73,25.0,0.0
장충동,중구,37.55560998,127.0022798,5,6,0,22.73,50.0,0.0
광희동,중구,37.56520434,127.0036254,7,11,0,31.82,91.67,0.0
을지로동,중구,37.56664043,126.9964914,3,12,0,13.64,100.0,0.0
신당동,중구,37.56574752,127.0137748,10,11,89909,45.45,91.67,67.8
다산동,중구,37.55470266,127.0082631,11,7,0,50.0,58.33,0.0
약수동,중구,37.54983728,127.0102398,12,4,0,54.55,33.33,0.0
청구동,중구,37.55685546,127.0149896,12,7,0,54.55,58.33,0.0
신당제5동,중구,37.56358116,127.0220162,18,6,0,81.82,50.0,0.0
동화동,중구,37.56059413,127.018671,17,6,0,77.27,50.0,0.0
황학동,중구,37.56841911,127.020798,10,8,0,45.45,66.67,0.0
중림동,중구,37.55731796,126.9659614,14,7,0,63.64,58.33,0.0
후암동,용산구,37.54993772,126.9805887,7,3,0,31.82,25.0,0.0
용산2가동,용산구,37.54023873,126.9835321,7,2,0,31.82,16.67,0.0
남영동,용산구,37.54510712,126.9735057,11,3,0,50.0,25.0,0.0
청파동,용산구,37.54785722,126.9671666,14,3,0,63.64,25.0,0.0
원효로제1동,용산구,37.53747049,126.9665602,8,5,0,36.36,41.67,0.0
원효로제2동,용산구,37.53310438,126.9513933,4,1,0,18.18,8.33,0.0
효창동,용산구,37.54305122,126.9613089,11,4,0,50.0,33.33,0.0
용문동,용산구,37.5381469,126.9585843,9,3,0,40.91,25.0,0.0
한강로동,용산구,37.52918454,126.9678552,4,4,0,18.18,33.33,0.0
이촌제1동,용산구,37.5172771,126.9709594,4,1,0,18.18,8.33,0.0
이촌제2동,용산구,37.52333115,126.9539394,0,0,0,0.0,0.0,0.0
이태원제1동,용산구,37.53339456,126.9932493,2,2,0,9.09,16.67,0.0
이태원제2동,용산구,37.54166032,126.9921342,6,3,0,27.27,25.0,0.0
한남동,용산구,37.53710166,127.005801,2,1,0,9.09,8.33,0.0
서빙고동,용산구,37.52246962,126.9883765,2,0,0,9.09,0.0,0.0
보광동,용산구,37.52587096,127.0012626,4,0,101000,18.18,0.0,60.15
왕십리제2동,성동구,37.56149776,127.0276904,12,5,0,54.55,41.67,0.0
왕십리도선동,성동구,37.56679117,127.0295695,6,5,0,27.27,41.67,0.0
마장동,성동구,37.56763673,127.0404901,9,4,76350,40.91,33.33,77.16
사근동,성동구,37.558015,127.0454347,8,4,0,36.36,33.33,0.0
행당제1동,성동구,37.55901978,127.0360566,11,6,0,50.0,50.0,0.0
행당제2동,성동구,37.55667576,127.0295034,10,5,0,45.45,41.67,0.0
응봉동,성동구,37.5509888,127.0339822,10,1,91375,45.45,8.33,66.78999999999999
금호1가동,성동구,37.55366878,127.0250557,13,2,0,59.09,16.67,0.0
금호2.3가동,성동구,37.55142836,127.0198922,9,4,0,40.91,33.33,0.0
금호4가동,성동구,37.54459485,127.0246,4,2,0,18.18,16.67,0.0
옥수동,성동구,37.54196706,127.0161757,7,2,131428,31.82,16.67,39.15
성수1가제1동,성동구,37.54042032,127.0410443,7,1,0,31.82,8.33,0.0
성수1가제2동,성동구,37.54907374,127.0439521,9,2,0,40.91,16.67,0.0
성수2가제1동,성동구,37.5366552,127.0552814,6,1,0,27.27,8.33,0.0
성수2가제3동,성동구,37.54554228,127.0581429,7,2,0,31.82,16.67,0.0
송정동,성동구,37.55233315,127.065698,4,1,65000,18.18,8.33,84.99
용답동,성동구,37.55854018,127.0578488,3,2,0,13.64,16.67,0.0
화양동,광진구,37.54326499,127.0734599,10,3,0,45.45,25.0,0.0
군자동,광진구,37.55306569,127.0736809,3,3,68000,13.64,25.0,82.92
중곡제1동,광진구,37.5620373,127.0777222,5,3,0,22.73,25.0,0.0
중곡제2동,광진구,37.55890871,127.084587,10,4,0,45.45,33.33,0.0
중곡제3동,광진구,37.56785113,127.0819697,12,2,0,54.55,16.67,0.0
중곡제4동,광진구,37.56391182,127.0944481,6,1,0,27.27,8.33,0.0
능동,광진구,37.55065718,127.0816453,9,4,0,40.91,33.33,0.0
광장동,광진구,37.54828309,127.1048726,8,1,94950,36.36,8.33,64.32
자양제1동,광진구,37.53554348,127.0804154,18,1,0,81.82,8.33,0.0
자양제2동,광진구,37.52933469,127.0832539,8,1,0,36.36,8.33,0.0
자양제3동,광진구,37.5316904,127.0711983,8,2,0,36.36,16.67,0.0
자양제4동,광진구,37.53389181,127.0637659,7,2,0,31.82,16.67,0.0
구의제1동,광진구,37.5414904,127.0860324,10,1,0,45.45,8.33,0.0
구의제2동,광진구,37.55100224,127.0944503,8,1,0,36.36,8.33,0.0
구의제3동,광진구,37.53509206,127.0952359,8,2,0,36.36,16.67,0.0
용신동,동대문구,37.57561621,127.0322863,9,4,0,40.91,33.33,0.0
제기동,동대문구,37.58367676,127.0372424,5,4,67750,22.73,33.33,83.09
전농제1동,동대문구,37.57901159,127.051048,10,1,0,45.45,8.33,0.0
전농제2동,동대문구,37.58072119,127.0611441,15,0,0,68.18,0.0,0.0
답십리제1동,동대문구,37.5709437,127.0516992,8,2,0,36.36,16.67,0.0
답십리제2동,동대문구,37.57089199,127.0611138,7,1,0,31.82,8.33,0.0
장안제1동,동대문구,37.56623145,127.0685899,6,1,0,27.27,8.33,0.0
장안제2동,동대문구,37.57576022,127.0725385,9,0,0,40.91,0.0,0.0
청량리동,동대문구,37.58894055,127.0451188,9,2,64300,40.91,16.67,85.47
회기동,동대문구,37.59370059,127.051407,10,0,0,45.45,0.0,0.0
휘경제1동,동대문구,37.59187265,127.0624745,12,0,0,54.55,0.0,0.0
휘경제2동,동대문구,37.58650599,127.0664358,15,0,0,68.18,0.0,0.0
이문제1동,동대문구,37.59722176,127.0602927,7,0,0,31.82,0.0,0.0
이문제2동,동대문구,37.60283343,127.0674922,6,0,0,27.27,0.0,0.0
면목제2동,중랑구,37.58937783,127.0781438,8,2,0,36.36,16.67,0.0
면목제4동,중랑구,37.57347748,127.0864748,6,3,0,27.27,25.0,0.0
면목제5동,중랑구,37.58297244,127.0796656,11,2,0,50.0,16.67,0.0
면목본동,중랑구,37.58834061,127.0895305,9,3,0,40.91,25.0,0.0
