NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 영등포구 신길동,261-22,261,22,신길레전드힐스,13.74,202306,30,"10,150",레전드힐스,14,-,-,2013,가마산로 468,-,중개거래,서울 영등포구,23.08.07
2,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202306,30,"69,800",209,9,-,-,2010,삼양로27길 19,-,중개거래,서울 강북구 서울 노원구,23.09.08
3,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,59.33,202306,30,"69,800",-,9,-,-,2010,삼양로27길 19,20230720,중개거래,서울 강북구 서울 노원구,-
4,서울특별시 강북구 미아동,812,812,0,삼성래미안트리베라2단지,58.99,202306,30,"68,500",207,3,-,-,2010,삼양로27길 19,-,중개거래,서울 강북구,23.09.25
5,서울특별시 서대문구 대현동,144,144,0,신촌럭키,59.7,202306,30,"75,000",108,11,-,-,1999,이화여대길 50-12,-,중개거래,서울 서대문구,23.08.31
6,서울특별시 송파구 가락동,140,140,0,가락(1차)쌍용아파트,59.92,202306,30,"105,000",501,12,-,-,1997,동남로 193,-,중개거래,서울 송파구,23.09.15
7,서울특별시 송파구 잠실동,22,22,0,리센츠,27.68,202306,30,"99,500",243,25,-,-,2008,올림픽로 135,-,중개거래,서울 송파구,23.10.20
8,서울특별시 마포구 대흥동,12-41,12,41,서희스타힐스,12.85,202306,30,"17,000",-,4,-,-,2014,신촌로 160,-,중개거래,서울 마포구,23.07.20
9,서울특별시 성동구 옥수동,250,250,0,옥수삼성,59.7,202306,30,"119,000",106,8,-,-,1999,독서당로 218,-,중개거래,서울 성동구,23.08.24
10,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.9,202306,30,"49,000",713,11,-,-,1988,동일로 1456,-,중개거래,서울 노원구,23.07.06
11,서울특별시 성북구 정릉동,1031,1031,0,정릉힐스테이트3차,59.98,202306,30,"67,500",303,4,-,-,2008,보국문로 116,-,중개거래,서울 성북구,23.09.15
12,서울특별시 강남구 도곡동,967,967,0,경남,59.76,202306,30,"153,000",103,17,-,-,2005,논현로 209,-,중개거래,서울 강남구,23.10.13
13,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.77,202306,30,"50,000",720,9,-,-,1988,상계로1길 92,-,직거래,-,23.07.31
14,서울특별시 강동구 길동,365-1,365,1,라인,59.94,202306,30,"59,800",-,10,-,-,1998,천중로50길 48-12,-,중개거래,서울 강동구,23.09.27
15,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.343,202306,30,"76,884",101동,14,-,-,2018,양산로 11,-,직거래,-,23.07.26
16,서울특별시 마포구 성산동,446,446,0,성산시영(유원),59.43,202306,30,"110,000",12,10,-,-,1986,월드컵북로 235,-,중개거래,서울 마포구,23.08.29
17,서울특별시 강동구 성내동,295,295,0,성안마을청구,59.93,202306,30,"80,000",101,13,-,-,2002,풍성로 114-1,-,중개거래,서울 강동구,23.11.17
18,서울특별시 양천구 신정동,325,325,0,목동신시가지11,51.48,202306,30,"96,700",1119,1,-,-,1988,목동동로 10,-,중개거래,서울 양천구,23.08.03
19,서울특별시 서대문구 북가좌동,481,481,0,DMC래미안e편한세상,59.97,202306,30,"100,000",106,12,-,-,2012,수색로 100,-,중개거래,서울 서대문구,23.10.31
20,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.469,202306,30,"71,907",101동,13,-,-,2018,양산로 11,-,직거래,-,23.07.28
21,서울특별시 동대문구 휘경동,106,106,0,휘경미소지움,59.84,202306,30,"55,500",101,11,-,-,1999,망우로 105,-,중개거래,서울 동대문구 서울 송파구,23.07.05
22,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,37.8,202306,30,"48,819",-,8,-,-,2018,양산로 11,20230728,직거래,-,-
23,서울특별시 양천구 신정동,1296,1296,0,아이파크,59.82,202306,30,"109,000",104,11,-,-,2002,목동동로 180,-,중개거래,서울 양천구,23.10.13
24,서울특별시 영등포구 양평동3가,106,106,0,양평역미소지움,59.166,202306,30,"71,541",101동,2,-,-,2018,양산로 11,-,직거래,-,23.07.26
25,서울특별시 동대문구 장안동,415-10,415,10,글로벌팰리스,22.59,202306,30,"28,000",102동,14,-,-,2019,천호대로 385,-,중개거래,서울 동대문구,23.11.03
26,서울특별시 중랑구 중화동,450,450,0,한신아파트상가동유치원동(103~109),59.76,202306,30,"63,500",105,23,-,-,1998,동일로 752,-,중개거래,서울 중랑구,23.08.18
27,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),49.6,202306,30,"49,700",1017,6,-,-,1999,공릉로34길 62,-,중개거래,서울 중랑구,23.08.18
28,서울특별시 성북구 돈암동,636,636,0,이수브라운스톤돈암,59.99,202306,30,"74,000",114,4,-,-,2004,북악산로 844,-,중개거래,서울 성북구,23.08.30
29,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,202306,30,"51,500",801,4,-,-,1994,공항대로43길 104,-,중개거래,서울 강서구,23.08.11
30,서울특별시 동대문구 답십리동,1003,1003,0,래미안위브,59.97,202306,30,"97,000",105동,5,-,-,2014,답십리로 130,-,중개거래,서울 동대문구,23.07.28
31,서울특별시 중랑구 면목동,1545,1545,0,사가정센트럴아이파크,59.92,202306,30,"95,000",108,10,-,-,2020,동일로92길 40,-,중개거래,서울 중랑구,23.09.08
32,서울특별시 용산구 이촌동,404,404,0,한가람,59.88,202306,30,"159,500",214,11,-,-,1998,이촌로65가길 51,-,중개거래,서울 용산구,23.09.19
33,서울특별시 금천구 독산동,1007-13,1007,13,e편한세상독산더타워,59.8637,202306,30,"70,000",101,10,-,-,2019,범안로 1212,-,중개거래,서울 금천구,23.07.31
34,서울특별시 강서구 화곡동,1173,1173,0,우장산숲아이파크,59.9983,202306,30,"90,000",106,5,-,-,2022,화곡로31다길 20,-,중개거래,서울 강서구,24.01.25
35,서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,49.92,202306,30,"161,000",111,14,-,-,2020,개포로 264,-,중개거래,서울 강남구,23.09.15
36,서울특별시 영등포구 양평동4가,94,94,0,삼호한숲,59.9,202306,30,"81,000",102,7,-,-,2000,선유로47길 34,-,중개거래,서울 영등포구,23.08.18
37,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),49.56,202306,30,"48,000",203,7,-,-,1992,허준로 47,-,직거래,-,23.07.26
38,서울특별시 강서구 마곡동,429,429,0,벽산,59.98,202306,30,"58,500",-,1,-,-,1999,양천로47길 118,20230728,중개거래,"경기 부천시 오정구, 서울 강서구",-
39,서울특별시 강서구 마곡동,429,429,0,벽산,59.98,202306,30,"58,500",108,1,-,-,1999,양천로47길 118,-,중개거래,"경기 부천시 오정구, 서울 강서구",23.10.30
40,서울특별시 도봉구 창동,715-25,715,25,새울(715-25),38.94,202306,30,"32,000",-,6,-,-,2014,해등로 121,-,직거래,-,23.07.28
41,서울특별시 동작구 사당동,105,105,0,극동(105),51.57,202306,30,"85,000",112,13,-,-,1993,동작대로29길 119,-,중개거래,서울 동작구,23.10.13
42,서울특별시 노원구 상계동,691,691,0,상계주공7(고층),45.77,202306,30,"50,000",-,9,-,-,1988,상계로1길 92,20230707,직거래,-,-
43,서울특별시 영등포구 양평동4가,51-1,51,1,경남아너스빌,59.84,202306,30,"70,000",101,9,-,-,2000,양평로17길 9,-,중개거래,서울 영등포구,23.08.30
44,서울특별시 구로구 신도림동,642,642,0,대림1,59.88,202306,30,"80,000",505,27,-,-,1999,신도림로 16,-,중개거래,서울 구로구 서울 양천구,23.10.06
45,서울특별시 노원구 상계동,749-5,749,5,상계주공4(고층),49.94,202306,30,"50,500",408,6,-,-,1988,동일로214길 21,-,중개거래,서울 노원구,23.09.27
46,서울특별시 마포구 대흥동,12-41,12,41,서희스타힐스,12.85,202306,30,"17,800",-,18,-,-,2014,신촌로 160,-,중개거래,서울 서대문구 서울 성동구,23.08.16
47,서울특별시 금천구 가산동,769,769,0,두산,59.84,202306,30,"63,500",113,19,-,-,1998,가산로 99,-,중개거래,서울 금천구,23.08.02
48,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202306,30,"59,500",120,16,-,-,2004,솔샘로 174,-,중개거래,서울 강북구,23.09.14
49,서울특별시 강북구 미아동,1353,1353,0,에스케이북한산시티,59.98,202306,30,"52,500",142,9,-,-,2004,솔샘로 174,-,중개거래,서울 강북구,23.08.18
50,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202306,29,"77,000",116,4,-,-,1999,동호로10길 30,-,중개거래,서울 성동구 서울 중구,23.09.14
51,서울특별시 마포구 아현동,777,777,0,마포래미안푸르지오4단지,59.9656,202306,29,"135,000",407,7,-,-,2014,마포대로 195,-,중개거래,서울 마포구,23.09.08
52,서울특별시 강남구 대치동,974,974,0,대치현대,59.82,202306,29,"163,500",105,22,-,-,1999,삼성로64길 5,-,중개거래,서울 강남구 인천 연수구,23.09.11
53,서울특별시 강동구 천호동,22-11,22,11,고려아파트(C동),46.61,202306,29,"34,300",C,6,-,-,2001,상암로41길 89,-,중개거래,서울 강동구,23.09.07
54,서울특별시 강남구 역삼동,757,757,0,역삼래미안,59.4,202306,29,"187,000",101,20,-,-,2005,선릉로69길 19,-,중개거래,서울 강남구,23.10.18
55,서울특별시 노원구 상계동,749-5,749,5,상계주공4(고층),49.94,202306,29,"50,800",417,8,-,-,1988,동일로214길 21,-,중개거래,서울 노원구,23.09.18
56,서울특별시 구로구 신도림동,642,642,0,대림1,59.9,202306,29,"86,000",407,26,-,-,1999,신도림로 16,-,중개거래,서울 구로구,23.08.14
57,서울특별시 노원구 공릉동,81,81,0,태강아파트(아이파크),59.38,202306,29,"57,000",1015,15,-,-,1999,공릉로34길 62,-,중개거래,서울 노원구,23.10.16
58,서울특별시 강북구 미아동,160-3,160,3,푸르지오시티,18.6479,202306,29,"14,100",수유역푸르지오시티,16,-,-,2014,도봉로 290,-,중개거래,서울 강북구,23.08.07
59,서울특별시 중구 흥인동,119,119,0,동대문와이즈캐슬,16.55,202306,29,"14,200",-,10,-,-,2014,퇴계로75길 7,-,중개거래,서울 중구,23.07.20
60,서울특별시 중랑구 상봉동,106,106,0,상봉힐스테이,17.25,202306,29,"29,500",-,11,-,-,2021,봉우재로37길 17,20230709,직거래,-,-
61,서울특별시 송파구 잠실동,35,35,0,트리지움,59.88,202306,29,"167,000",302,16,-,-,2007,잠실로 62,-,중개거래,서울 송파구,23.08.10
62,서울특별시 강남구 수서동,746,746,0,까치마을,34.44,202306,29,"82,650",1004,15,-,-,1993,광평로19길 10,-,중개거래,서울 강남구,23.11.01
63,서울특별시 서대문구 연희동,745,745,0,연희자이엘라,13.642,202306,29,"14,500",-,5,-,-,2014,연희로5길 14,-,중개거래,서울 서대문구,23.07.05
64,서울특별시 송파구 가락동,913,913,0,헬리오시티,59.96,202306,29,"166,000",509,10,-,-,2018,송파대로 345,-,중개거래,서울 송파구,23.09.01
65,서울특별시 광진구 자양동,762,762,0,한라아파트,59.96,202306,29,"85,000",-,8,-,-,1996,뚝섬로35길 10,20230721,중개거래,서울 광진구,-
66,서울특별시 송파구 신천동,17,17,0,파크리오,59.86,202306,29,"175,000",315,10,-,-,2008,올림픽로 435,-,중개거래,서울 송파구,23.08.07
67,서울특별시 구로구 구로동,104-9,104,9,성호메이플라워멤버스빌,31.75,202306,29,"15,300",-,10,-,-,2002,가마산로 283,-,중개거래,서울 구로구,23.09.18
68,서울특별시 용산구 이촌동,415,415,0,한강(대우),59.98,202306,29,"152,000",101,11,-,-,2000,이촌로 181,-,중개거래,서울 용산구,23.10.06
69,서울특별시 송파구 풍납동,514,514,0,잠실올림픽공원아이파크,59.97,202306,29,"139,000",104,15,-,-,2019,올림픽로43길 34,-,중개거래,서울 송파구,23.10.05
70,서울특별시 강남구 대치동,1014-3,1014,3,대치삼성,59.88,202306,29,"162,500",111,2,-,-,2000,도곡로78길 22,-,중개거래,서울 강남구,23.09.13
